,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
0,2016 Jaguar F-PACE 2.0d prestige (162),"€29,800",Cork,Jaguar,F-Pace,---,---,2016,"79,000 mi",Diesel,Manual,SUV,2.0 litre,---,---,5,5,Black,Ireland,---,---,Sep 2023,---,Available,,
1,AUDI A3 1.6 TDI SE 5 DOOR,"€13,000","North County, Dublin",Audi,A3,SE,Luxury Trim,2014,"124,647 mi",Diesel,Manual,Hatchback,1.6 litre,110hp,10.7 sec,5,4,White,Ireland,1,180,Jan 2023,5/5,,,
2,Volkswagen Passat ER 1.6 TDI Manual 6speed FWD Bl,"€10,950",Westmeath,Volkswagen,Passat,---,---,2013,"197,144 km",Diesel,Manual,Saloon,1.6 litre,---,---,---,4,Silver,Ireland,3,190,Sep 2023,---,Available,,
3,Renault Megane **NCT 2024** Low mileage,"€8,950","Portarlington, Laois",Renault,Megane,DYNAMIQUE,Medium Trim,2014,"110,191 km",Diesel,Manual,Coupe,1.5 litre,110hp,10.8 sec,5,3,White,Ireland,2,180,Mar 2024,---,,,
4,TOYOTA VITZ-YARIS HYBRID,"€13,950",Tipperary,Toyota,Vitz,---,---,2017,"121,000 km",Hybrid,Automatic,Hatchback,1.5 litre,---,---,5,5,White,---,1,170,Oct 2024,---,6 Month,---,
5,Hyundai i30 Fastback 1.0 T-gdi 5dr Bluetooth  Sat,"€23,150",Dublin,Hyundai,i30,---,Luxury Trim,2020,"21,000 km",Petrol,Manual,Hatchback,1.0 litre,120hp,11.5 sec,5,5,Grey,Ireland,1,270,---,5/5,,,
6,"Peugeot 308, 2008 BREAKING FOR PARTS",No Price,Tyrone,Peugeot,308,,,2008,---,Petrol,Manual,Hatchback,1.4 litre,,,---,5,Grey,UK,5,---,---,,,,
7,2014/2 TOYOTA PRIUS- NEW NCT&WARRANTY,"€13,950",Tipperary,Toyota,Prius,---,---,2014,"84,000 km",Hybrid,Automatic,Hatchback,1.8 litre,---,---,5,5,White,---,1,170,Sep 2024,---,6 Month,---,
8,"V.W UP 1.0 AUTOMATIC, new nct and warranty","€8,450",Tipperary,Volkswagen,Up!,---,---,2015,"70,000 km",Petrol,Automatic,Hatchback,1.0 litre,---,---,4,3,Black,---,1,190,Oct 2024,---,6 Month,,
9,Subaru Imprez for Sale 4 wheel drive,"€2,200","Drogheda, Louth",Subaru,Impreza,,,2008,"145,000 mi",Petrol,Manual,Estate,1.5 litre,,,5,5,Red,Ireland,3,---,May 2022,,,,
10,Dacia Duster 1.5 Blue dCi 115 Essential,"€15,500",Mayo,Dacia,Duster,Essential,Base Trim,2019,"82,883 km",Diesel,Manual,SUV,1.5 litre,115hp,10.5 sec,5,4,White,Ireland,1,200,Sep 2023,3/5,Available,,
11,2013 ford focus 1.0 ecoboost,"€7,000","Dundalk, Louth",Ford,Focus,ZETEC,Sports Trim,2013,106 km,Petrol,Manual,Hatchback,1.0 litre,100hp,12.5 sec,6,5,Black,Ireland,1,200,Jul 2024,5/5,Available,,
12,fiat panda,"€2,500","Buttevant, Cork",Fiat,Panda,,,2010,478 km,Petrol,Manual,Hatchback,1.1 litre,,,5,5,Grey,Ireland,2,200,Sep 2023,,,,
13,Opel Crossland X SE 1.5 Turbo D (102ps) S/S Ecotec,"€19,950",Wexford,Opel,Crossland X,SE,Medium Trim,2019,"41,507 km",Diesel,Manual,SUV,1.5 litre,102hp,11.7 sec,5,5,Brown,Ireland,1,190,Mar 2023,5/5,6 Month,,
14,Opel Vectra,"€1,800","Letterkenny, Donegal",Opel,Vectra,,,2008,"261,613 km",Diesel,Manual,Hatchback,1.9 litre,,,5,5,Blue,Ireland,4,390,Jun 2023,,,,
15,Skoda Octavia Estate Style 2.0 TDI 115 BHP  brand,"€37,200",Kerry,Skoda,Octavia,---,---,2022,0 km,Diesel,Manual,Estate,2.0 litre,---,---,---,---,Black,Ireland,---,---,---,---,Available,,
16,2015 Volkswagen Polo - 1.4 TDI,"€9,750","Dundalk, Louth",Volkswagen,Polo,Trendline,Base Trim,2015,"130,000 mi",Diesel,Manual,Hatchback,1.4 litre,75hp,12.9 sec,5,5,Grey,Ireland,3,180,Aug 2023,5/5,,,
17,2011 Honda Insight 1.3 Hybrid NCT 02/23,"€6,999",Dublin,Honda,Insight,SE,Medium Trim,2011,"144,027 km",Petrol Hybrid,Automatic,Hatchback,1.3 litre,98hp,12.5 sec,5,5,Grey,Ireland,---,170,Feb 2023,5/5,,---,
18,07 OPEL ASTRA 1.4 PETROL NEW NCT 11/23,"€2,450","Mallow, Cork",Opel,Astra,,,2007,"132,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,3,Black,Ireland,2,385,Nov 2022,,,,
19,Volkswagen T-Roc T-roc Style Plus 1.0 TSI 110BHP,"€36,995",Cork,Volkswagen,T-Roc,Style,Medium Trim,2022,150 km,Petrol,Manual,SUV,1.0 litre,110hp,10.8 sec,5,5,Blue,Ireland,1,210,Jul 2026,5/5,,,
20,Skoda Kodiaq Order NOW FOR 2023 Trinity Skoda,No Price,Wicklow,Skoda,Kodiaq,---,---,2023,0 km,Diesel,Manual,SUV,2.0 litre,---,---,---,5,---,---,---,---,---,---,Available,,
21,BMW 5-Series 2011,"€8,000","Limerick City, Limerick",BMW,5-Series,M Sport,Sports Trim,2011,"227,552 km",Diesel,Automatic,Saloon,2.0 litre,184hp,8.1 sec,5,4,Blue,Ireland,2,280,Sep 2022,---,,,
22,BMW 5-Series 2016,"€26,500","Enniscorthy, Wexford",BMW,5-Series,M SPORT,Sports Trim,2016,"65,000 mi",Diesel,Automatic,Saloon,2.0 litre,190hp,7.7 sec,5,4,White,Ireland,1,200,Mar 2024,---,,,
23,Volkswagen Polo 1.2 Allstar Hatchback Petrol Auto,"€16,950",Cork,Volkswagen,Polo,Comfortline,Medium Trim,2017,"45,685 km",Petrol,Automatic,Hatchback,1.2 litre,90hp,10.8 sec,5,5,Red,Ireland,1,180,---,---,Available,,
24,Ford Focus ST Line,"€16,950",Mayo,Ford,Focus,ST-Line,Sports Trim,2017,"92,000 mi",Diesel,Manual,Hatchback,1.5 litre,120hp,8.7 sec,5,5,Black,Ireland,---,170,Feb 2024,5/5,,,
25,Opel Astra 1.4 SXI,"€1,950","South County, Dublin",Opel,Astra,,,2008,"136,000 mi",Petrol,Manual,Hatchback,1.4 litre,,,5,3,Silver,Ireland,2,390,Feb 2023,,,,
26,2011 BMW 520D M Sport Auto F10,"€12,650","North City, Dublin",BMW,5-Series,M Sport,Sports Trim,2011,"223,050 km",Diesel,Automatic,Saloon,2.0 litre,184hp,8.1 sec,5,4,Black,Ireland,2,280,May 2023,---,,,
27,Kia Sportage 1.6 DSL K4,"€43,000",Dublin,KIA,Sportage,---,---,2023,0 km,Diesel,Manual,SUV,1.6 litre,---,---,---,5,White,Other,---,---,---,---,,,
28,Nissan QASHQAI 1.5 DSL SV Premium My20 4DR,"€31,495",Offaly,Nissan,Qashqai,SV Premium,Medium Trim,2020,"54,657 km",Diesel,Manual,MPV,1.5 litre,115hp,12.3 sec,5,4,Blue,Ireland,1,190,Jan 2024,5/5,Available,,
29,BMW T Sport Step plug-in petrol/electric hybrid,"€28,995",Dublin,BMW,3-Series,Sport,Sports Trim,2018,"15,009 mi",Petrol Plug-in Hybrid,Automatic,Saloon,2.0 litre,252hp,6.1 sec,5,4,White,Ireland,---,140,---,5/5,3 Month,7.6 kWh,---
30,Ford Mondeo 1.8 Diesel NCT,"€2,490",Dublin,Ford,Mondeo,,,2009,"207,000 mi",Diesel,Manual,Hatchback,1.8 litre,,,5,5,Grey,Ireland,3,390,Dec 2022,,,,
31,Audi A6 Stunning Car S Line 40 2.0 TDi 204BHP S T,"€43,945",Wexford,Audi,A6,---,---,2019,"26,700 mi",Diesel,Automatic,Saloon,2.0 litre,---,---,---,4,Grey,UK,1,---,---,---,Available,,
32,Volkswagen Caddy Caddy Trend 2.0 TDI 102HP M5F,"€21,950",Donegal,Volkswagen,Caddy,Trendline,Base Trim,2019,"101,567 km",Diesel,Manual,MPV,2.0 litre,102hp,---,2,5,Grey,Ireland,1,---,Jan 2023,4/5,Available,,
33,Mitsubishi ASX 1.6 DID Instyle 4DR,"€14,950",Wexford,Mitsubishi,ASX,Instyle,Base Trim,2016,"125,000 km",Diesel,Manual,Estate,1.6 litre,114hp,11.2 sec,5,4,Grey,Ireland,2,200,Nov 2022,5/5,Available,,
34,"Peugeot Partner, 2018","€13,000",Donegal,Peugeot,Partner,Active,Medium Trim,2018,"40,000 mi",Diesel,Manual,MPV,1.6 litre,75hp,14.3 sec,3,5,White,Ireland,1,333,Mar 2023,3/5,3 Month,,
35,Volkswagen Golf,"€10,000",Kildare,Volkswagen,Golf,TRENDLINE,Base Trim,2013,"170,000 km",Diesel,Manual,Estate,1.6 litre,105hp,10.7 sec,5,5,Blue,Ireland,3,180,Nov 2023,---,,,
36,Ford mondeo 1.8 tdci,"€1,250","Wexford Town, Wexford",Ford,Mondeo,,,2009,"270,000 mi",Diesel,---,Hatchback,1.8 litre,,,5,---,Silver,Ireland,4,390,Mar 2022,,,,
37,BMW 3-Series 2013,"€13,650","North County, Dublin",BMW,3-Series,SE,Medium Trim,2013,"168,000 mi",Diesel,Automatic,Saloon,3.0 litre,258hp,5.6 sec,5,4,Silver,Ireland,3,270,Dec 2023,5/5,,,
38,Ford Focus 1.6 Zetec Hatchback Diesel Manual (95b,"€13,950",Dublin,Ford,Focus,ZETEC,Sports Trim,2015,"108,995 km",Diesel,Manual,Hatchback,1.6 litre,95hp,12.5 sec,5,5,Candy Red,Ireland,2,190,---,5/5,Available,,
39,Apr 07 Audi A3 SptBack 1.6 Amb 5 Dr Est €514 Tax,"€4,500","South County, Dublin",Audi,A3,,,2007,"103,200 mi",Petrol,Manual,Hatchback,1.6 litre,,,5,5,Grey,Ireland,2,514,Jan 2023,,,,
40,Renault Clio 2016,"€9,250","South City, Dublin",Renault,Clio,DYNAMIQUE,Medium Trim,2016,"159,600 km",Diesel,Manual,Hatchback,1.5 litre,90hp,12.1 sec,5,4,Black,Ireland,1,180,Sep 2024,---,,,
41,Toyota Corolla 2006,"€2,850","Mullingar, Westmeath",Toyota,Corolla,,,2006,"200,114 mi",Diesel,Manual,Hatchback,2.0 litre,,,5,4,Silver,Ireland,---,---,Mar 2022,,,,
42,KIA Pro Ceed 2009,"€2,400","Cork City, Cork",KIA,Ceed,,,2009,"180,000 mi",Diesel,Manual,Van,1.6 litre,,,2,3,Blue,Ireland,5,---,---,,,,
43,BMW 4 Series 420d M Sport Gran Coupe,"€34,900",Cork,BMW,4-Series,M Sport,Sports Trim,2018,"89,220 km",Diesel,Automatic,Coupe,2.0 litre,190hp,7.1 sec,5,5,Black,Ireland,---,200,---,---,Available,,
44,"Peugeot 3008, 2010","€3,995",Dublin,Peugeot,3008,,,2010,"233,000 km",Diesel,Manual,MPV,1.6 litre,,,5,5,Brown,Ireland,3,280,Feb 2023,,,,
45,Kia Stonic 1.25 K1 Petrol,"€17,900",Cork,KIA,Stonic,K1,Base Trim,2019,"30,264 km",Petrol,Manual,Estate,1.2 litre,84hp,13.2 sec,5,5,Red,Ireland,1,280,May 2023,5/5,Available,,
46,2017 Opel Insignia 2.0cdti 170bhp (Top Spec),"€9,950",Dublin,Opel,Insignia,SE,Medium Trim,2017,"200,000 km",Diesel,Manual,Hatchback,2.0 litre,170hp,9.5 sec,5,5,Grey,Ireland,2,200,Feb 2023,---,,,
47,Hyundai Santa Fe 2006,"€1,950","South County, Dublin",Hyundai,Santa Fe,,,2006,"276,725 km",Diesel,Automatic,SUV,2.2 litre,,,7,5,Beige,Ireland,2,951,May 2023,,,,
48,DACIA DUSTER HIGH SPEC LOW MILEAGE 2015,"€9,500",Limerick,Dacia,Duster,SIGNATURE,Luxury Trim,2015,120 km,Diesel,Manual,SUV,1.5 litre,107hp,11.8 sec,5,4,Grey,Ireland,2,270,Aug 2023,---,,,
49,"Toyota Corolla, 2006","€2,295",Dublin,Toyota,Corolla,,,2006,"264,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Grey,Ireland,6,385,Feb 2023,,,,
50,Mazda 3,"€1,275","Waterford City, Waterford",Mazda,3,,,2009,---,Petrol,Manual,Saloon,1.6 litre,,,5,4,Black,Ireland,4,570,Aug 2022,,,,
51,"Audi A3, 2016","€16,995",Dublin,Audi,A3,SE,Luxury Trim,2016,"171,000 km",Diesel,Automatic,Saloon,1.6 litre,110hp,10.7 sec,5,4,Black,Ireland,1,190,May 2024,5/5,3 Month,,
52,"Volkswagen Passat, 2014","€11,995",Dublin,Volkswagen,Passat,COMFORTLINE,Medium Trim,2014,"90,886 km",Diesel,Manual,Saloon,1.6 litre,105hp,12.2 sec,5,4,Brown,Ireland,1,200,Sep 2024,5/5,3 Month,,
53,Hyundai Tucson Comfort 5DR Finance Available own,"€16,999",Dublin,Hyundai,Tucson,Comfort Plus,Medium Trim,2016,"169,671 km",Diesel,Manual,MPV,1.7 litre,115hp,13.7 sec,5,5,Grey,Ireland,1,200,Aug 2024,5/5,,,
54,Opel Insignia Top-specsri 160PS 5DR .one Owner .n,"€2,950",Meath,Opel,Insignia,,,2009,"330,008 km",Diesel,Manual,Hatchback,2.0 litre,,,---,5,Silver,Ireland,1,---,Mar 2022,,Available,,
55,"Ford Focus, 2015","€11,450",Dublin,Ford,Focus,Style,Medium Trim,2015,"212,000 km",Diesel,Manual,Hatchback,1.6 litre,95hp,12.5 sec,5,5,Silver,Ireland,1,190,Jun 2023,5/5,3 Month,,
56,"Ford Focus, 2008","€3,295",Dublin,Ford,Focus,,,2008,"201,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,3,Black,Ireland,6,385,Mar 2023,,,,
57,"Nissan Note, 2008","€2,995",Dublin,Nissan,Note,,,2008,"162,000 km",Petrol,Manual,MPV,1.4 litre,,,5,5,Silver,Ireland,3,390,Sep 2023,,,,
58,"Audi A4, 2014","€12,495",Dublin,Audi,A4,---,Base Trim,2014,"245,000 km",Diesel,Manual,Saloon,2.0 litre,120hp,10.5 sec,5,4,Silver,Ireland,1,200,Jan 2024,---,3 Month,,
59,"Volkswagen Golf, 2008","€6,995",Dublin,Volkswagen,Golf,,,2008,"324,000 km",Petrol,Manual,Hatchback,2.0 litre,,,5,3,Black,Ireland,1,710,Jan 2023,,,,
60,"Hyundai ix35, 2010","€5,695",Dublin,Hyundai,ix35,,,2010,"288,000 km",Diesel,Manual,SUV,2.0 litre,,,5,5,Silver,Ireland,2,390,Sep 2023,,3 Month,,
61,"Honda Jazz, 2014","€9,895",Dublin,Honda,Jazz,ES,Medium Trim,2014,"38,409 mi",Petrol,Manual,Hatchback,1.3 litre,99hp,11.5 sec,5,5,Silver,Ireland,1,270,Sep 2024,---,3 Month,,
62,"Hyundai ix35, 2012","€7,995",Dublin,Hyundai,ix35,Sport,Sports Trim,2012,"225,000 km",Diesel,Manual,SUV,1.7 litre,115hp,12.4 sec,5,4,Black,Ireland,3,280,Sep 2023,5/5,3 Month,,
63,"Fiat 500, 2013","€7,695",Dublin,Fiat,500,Pop,Base Trim,2013,"56,000 km",Petrol,Manual,Hatchback,0.9 litre,85hp,11.0 sec,4,2,Blue,Ireland,4,180,Jul 2024,---,3 Month,,
64,"Renault Fluence, 2011","€6,995",Dublin,Renault,Fluence,TOMTOM ED,Medium Trim,2011,"133,000 km",Diesel,Automatic,Saloon,1.5 litre,110hp,11.9 sec,5,4,Silver,Ireland,1,200,Sep 2023,---,3 Month,,
65,"Hyundai i30, 2016","€13,995",Dublin,Hyundai,i30,Classic,Base Trim,2016,"64,500 mi",Diesel,Manual,Hatchback,1.6 litre,110hp,10.6 sec,5,5,Grey,Ireland,1,190,Sep 2024,---,3 Month,,
66,Toyota Aqua 1.5 Hybrid Self Charging,"€11,950",Dublin,Toyota,Aqua,---,---,2016,"108,001 km",Hybrid,Automatic,Hatchback,1.5 litre,---,---,---,4,Silver,Ireland,---,---,Aug 2024,---,Available,---,
67,"HONDA JAZZ ,2011, 1.2, LOW INSURANCE,LOW KMS","€5,995",Dublin,Honda,Jazz,SE-S,Medium Trim,2011,"113,832 km",Petrol,Manual,Hatchback,1.2 litre,90hp,12.5 sec,5,5,Purple,Ireland,---,270,Jul 2023,---,3 Month,,
68,2019 BMW 520d  G30 SE 12 Months Warranty,"€36,950",Limerick,BMW,5-Series,---,---,2019,"67,983 km",Diesel,Automatic,Saloon,2.0 litre,---,---,5,4,Black,Ireland,1,200,Jul 2023,---,12 Month,,
69,KIA Ceed 2013,"€7,500","Nenagh, Tipperary",KIA,Ceed,EX,Luxury Trim,2013,---,Diesel,Manual,Estate/Jeep,1.6 litre,128hp,11.2 sec,5,5,Silver,Ireland,2,200,---,---,,,
70,Ford focus titanium edition new nct like new,"€12,000","South City, Dublin",Ford,Focus,Titanium,Luxury Trim,2018,"220,000 km",Diesel,Manual,Estate,1.5 litre,120hp,11.0 sec,5,4,Grey,Ireland,---,180,May 2022,5/5,,,
71,Peugeot 208 2014,"€8,750","Bray, Wicklow",Peugeot,208,Access,Base Trim,2014,"57,671 km",Petrol,Manual,Hatchback,1.0 litre,68hp,15.9 sec,5,4,Red,Ireland,2,180,Jan 2024,5/5,,,
72,Kia Sportage 1.6 DSL GT Line,"€29,995",Dublin,KIA,Sportage,GT Line,Sports Trim,2019,"84,177 km",Diesel,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,Black,Ireland,1,270,Jan 2023,5/5,,,
73,Nissan quasquai 1.5 dci nct past low milage,"€3,250","South City, Dublin",Nissan,Qashqai,,,2009,"200,000 km",Diesel,Manual,Hatchback,1.5 litre,,,---,5,Red,Ireland,3,280,Feb 2023,,,,
74,2017 Audi A4 Sline Estate Automatic,"€22,950","Loughrea, Galway",Audi,A4,S Line,Sports Trim,2017,"255,000 km",Diesel,Automatic,Estate,2.0 litre,150hp,9.5 sec,5,4,Grey,Ireland,---,200,Mar 2021,---,,,
75,Hyundai i30 2016  CAR,"€7,350","Letterkenny, Donegal",Hyundai,i30,---,---,2016,---,Diesel,Manual,Van,1.4 litre,---,---,5,3,White,Ireland,2,333,---,---,,,
76,Toyota C-HR 1.8 Hybrid Luna half Leather Int 360,"€30,890",Dublin,Toyota,C-HR,Luna,Medium Trim,2020,"20,571 mi",Hybrid,Automatic,Hatchback,1.8 litre,122hp,11.0 sec,5,5,White,Ireland,1,160,---,5/5,12 Month,---,
77,2012 Ford Focus 1.0L NCT 02/2023 Low Miles,"€6,450",Dublin,Ford,Focus,ZETEC,Sports Trim,2012,"81,900 mi",Petrol,Manual,Hatchback,1.0 litre,100hp,12.5 sec,5,5,Silver,Ireland,1,190,Feb 2023,5/5,,,
78,Ford Galaxy 2008,"€2,650","Castleblaney, Monaghan",Ford,Galaxy,,,2008,"403,469 km",Diesel,Manual,MPV,1.8 litre,,,7,5,Silver,Ireland,5,570,May 2023,,,,
79,Honda Fit FIT Hybrid 5DR Auto,"€14,995",Galway,Honda,Fit,---,---,2017,"107,373 km",Hybrid,Automatic,Hatchback,1.5 litre,---,---,---,5,White,Ireland,---,150,Dec 2023,---,Available,---,
80,2008 Nissan Note 1.4 Visia (New Nct),"€1,995",Donegal,Nissan,Note,,,2008,"109,000 mi",Petrol,---,MPV,1.4 litre,,,5,5,Red,Ireland,1,---,---,,Available,,
81,Volkswagen Tiguan Allspace 2.0 TDI 150HP BMT Comf,"€34,995",Dublin,Volkswagen,Tiguan Allspace,---,---,2018,"60,632 km",Diesel,Manual,SUV,2.0 litre,---,---,---,5,Grey,Ireland,2,270,Feb 2022,---,Available,,
82,LAND ROVER Discovery 2002,"£3,000","Ballina, Mayo",LAND ROVER,Discovery,,,2002,"97,000 mi",Diesel,Manual,SUV,2.5 litre,,,7,5,Green,United Kingdom,9,---,---,,,,
83,Audi A1 30 Tfsi 116HP S Line,"€27,700",Cork,Audi,A1,S Line,Sports Trim,2021,"12,355 km",Petrol,Manual,Hatchback,1.0 litre,116hp,9.5 sec,5,4,Grey,Ireland,1,210,Jan 2025,5/5,,,
84,"Honda Stream, 2009 Automatic 7 Seats New NCT","€3,950",Louth,Honda,Stream,,,2009,"149,000 mi",Petrol,Automatic,MPV,1.8 litre,,,7,5,Silver,Ireland,1,390,Feb 2023,,3 Month,,
85,Skoda Superb 1 OWNER WITH A SERVICE HISTORY,"€18,495",Dublin,Skoda,Superb,Ambition,Medium Trim,2017,"173,128 km",Diesel,Manual,Saloon,2.0 litre,150hp,8.8 sec,5,4,Yellow,Ireland,---,190,May 2023,5/5,3 Month,,
86,"Peugeot 207, 2008 Manual petrol New NCT","€2,750",Louth,Peugeot,207,,,2008,"105,000 mi",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Black,Ireland,4,390,Jul 2023,,3 Month,,
87,Toyota Yaris 2006,"€3,750","Maynooth, Kildare",Toyota,Yaris,,,2006,"132,884 km",Petrol,Manual,Hatchback,1.3 litre,,,5,5,Blue,Ireland,4,358,Dec 2022,,,,
88,"Jaguar XE 2.0 D 163 PS My Prestige, 2016","€17,900",Louth,Jaguar,XE,Prestige,Medium Trim,2016,"98,000 mi",Diesel,Automatic,Saloon,2.0 litre,163hp,8.2 sec,5,4,Black,Ireland,2,190,Oct 2024,5/5,3 Month,,
89,"Nissan Tiida, 2010 Manual Diesel NCT 11/23","€3,150",Louth,Nissan,Tiida,,,2010,"169,000 mi",Diesel,Manual,Saloon,1.5 litre,,,5,4,Red,Ireland,1,280,Nov 2023,,3 Month,,
90,"Dacia Sandero 1.2, 2016 Manual Petrol NCT 11/24","€7,990",Louth,Dacia,Sandero,ALTERNATIVE,Base Trim,2016,"60,000 mi",Petrol,Manual,Hatchback,1.1 litre,75hp,11.1 sec,5,4,White,Ireland,2,270,Nov 2024,4/5,3 Month,,
91,"Peugeot 308, 2009 Low Mileage Fresh NCT","€3,450",Louth,Peugeot,308,,,2009,"120,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Red,Ireland,3,390,Oct 2023,,3 Month,,
92,"Renault Fluence, 2011TomTom Maual Diesel NCT 02/23","€3,650",Louth,Renault,Fluence,TOMTOM ED,Medium Trim,2011,"171,000 mi",Diesel,Manual,Saloon,1.5 litre,90hp,13.0 sec,5,4,Silver,Ireland,4,200,Feb 2023,---,3 Month,,
93,2012 BMW 520 2.0 DIESEL AUTOMATIC,"€12,500",Dublin,BMW,5-Series,SE,Base Trim,2012,"101,000 mi",Diesel,Automatic,Saloon,2.0 litre,184hp,8.1 sec,5,4,Grey,Ireland,1,270,Sep 2024,5/5,3 Month,,
94,2015 HOMDA FIT 1.3 PETROL AUTOMATIC,"€10,950",Dublin,Honda,Fit,---,---,2015,"70,000 mi",Petrol,Automatic,Hatchback,1.3 litre,---,---,5,5,Blue,Ireland,2,180,Nov 2023,---,3 Month,,
95,2006 ford focus estate 800 euro,€800,Limerick,Ford,Focus,,,2006,---,Petrol,Manual,Estate,1.4 litre,,,5,5,Silver,Ireland,3,385,Mar 2022,,,,
96,2014 NISSAN QASHQAI 1.5 DCI FRESH NCT,"€10,950",Dublin,Nissan,Qashqai,SV,Medium Trim,2014,"124,000 mi",Diesel,Manual,Hatchback,1.5 litre,110hp,11.9 sec,5,4,Brown,Ireland,1,180,Jun 2024,5/5,12 Month,,
97,Volvo XC40 D3 150hp Inscription Pro Auto (adaptiv,No Price,Cork,Volvo,XC40,Inscription Pro,Sports Trim,2020,"56,330 km",Diesel,Automatic,SUV,2.0 litre,150hp,10.2 sec,5,5,Grey,Ireland,1,280,Feb 2024,5/5,2 Year,,
98,2015 VOLVO XC60 2.0 DIESEL 190 BHP AUTO,"€18,999",Dublin,Volvo,XC60,SE,Medium Trim,2015,"116,000 mi",Diesel,Automatic,SUV,2.0 litre,190hp,8.5 sec,5,5,Red,Ireland,---,270,Feb 2024,---,12 Month,,
99,2016 BMW X5 F15 XDrive30d M Sport Perform 7 Seats,"€46,990",Dublin,BMW,X5,M Sport,Luxury Trim,2016,"77,362 mi",Diesel,Automatic,SUV,3.0 litre,258hp,6.8 sec,7,5,Grey,Ireland,---,570,Aug 2024,---,Available,,
100,Nissan Micra 1.2 AUTO 6 MONTH WARRANTY,"€6,999","North City, Dublin",Nissan,March,---,Base Trim,2012,"54,059 mi",Petrol,Automatic,Hatchback,1.2 litre,80hp,14.5 sec,5,5,Black,Ireland,---,160,Aug 2024,4/5,,,
101,Hyundai ix35 1.7 Premium 4DR,"€16,950",Wexford,Hyundai,ix35,Premium,Luxury Trim,2015,"90,991 km",Diesel,Manual,SUV,1.7 litre,115hp,12.4 sec,5,4,Gold,Ireland,2,280,Oct 2023,5/5,Available,,
102,Audi Q3 35 TDI 150 Quattro S-line,"€42,500",Louth,Audi,Q3,S Line,Sports Trim,2019,"39,000 km",Diesel,Manual,SUV,2.0 litre,150hp,9.3 sec,5,4,Grey,Ireland,1,390,Jul 2023,---,12 Month,,
103,Volkswagen Polo 2013,"€7,500","Drogheda, Louth",Volkswagen,Polo,TRENDLINE,Base Trim,2013,"170,000 km",Diesel,Manual,Hatchback,1.2 litre,75hp,13.9 sec,5,5,White,Ireland,5,190,Feb 2023,---,,,
104,Mini Cooper First  Nct 10-23 Taxed until 03-23,"€6,750",Galway,Mini,First,---,---,2013,"127,000 mi",Petrol,Manual,Hatchback,1.6 litre,---,---,4,3,Blue,Ireland,2,270,Oct 2023,---,,,
105,Audi A6 2014 S-line black edition,"€16,999",Dublin,Audi,A6,S LINE,Sports Trim,2014,"171,475 km",Diesel,Unknown,Saloon,2.0 litre,177hp,8.7 sec,5,4,Red,Ireland,2,270,Mar 2022,5/5,,,
106,2012 Ford Fiesta,"€5,400",Limerick,Ford,Fiesta,---,Base Trim,2012,"190,000 km",Petrol,Manual,Hatchback,1.2 litre,60hp,16.9 sec,5,4,Silver,Ireland,5,270,Mar 2023,---,,,
107,Volvo XC60 D4 SE NAV,"€33,900",Mayo,Volvo,XC60,---,---,2017,"76,221 mi",Diesel,Automatic,Estate,2.0 litre,---,---,---,5,Silver,UK,1,---,Oct 2022,---,,,
108,Volkswagen Tiguan Huge Sale NOW ON 2.0 TDI 150HP,"€30,450",Wicklow,Volkswagen,Tiguan,Comfortline,Medium Trim,2019,"77,451 km",Diesel,Manual,SUV,2.0 litre,150hp,9.3 sec,5,5,Grey,Ireland,1,270,Jan 2023,---,Available,,
109,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,"€20,450",Westmeath,Renault,Kadjar,Dynamique Nav,Medium Trim,2018,"85,000 km",Diesel,Manual,SUV,1.5 litre,110hp,11.9 sec,5,4,Grey,Ireland,2,180,Jan 2022,---,Available,,
110,Renault Megane 2018,"€16,500",Longford,Renault,Megane,GT LINE NAV,Medium Trim,2018,"83,000 km",Diesel,Manual,Hatchback,1.6 litre,130hp,10.6 sec,5,4,Black,Ireland,1,190,Jan 2024,5/5,,,
111,99 Vw polo,€0,"Donegal Town, Donegal",Volkswagen,Polo,,,1999,---,Petrol,Manual,Hatchback,1.0 litre,,,4,3,Silver,Ireland,---,199,Jan 2023,,,,
112,2019 Ford Ranger 2.0 Wildtrak Auto Fully Loaded,"£19,950","Dungannon, Tyrone",Ford,Ranger,---,---,2019,"88,000 mi",Diesel,Automatic,Pick Up,2.0 litre,---,---,5,4,Orange,United Kingdom,---,---,---,---,,,
113,Peugeot 3008 Allure Blue 1.6 Hdi 2018,"€25,950",Tipperary,Peugeot,3008,Allure,Medium Trim,2018,"63,198 km",Diesel,Manual,MPV,1.6 litre,120hp,11.2 sec,5,4,Black,Ireland,2,190,Feb 2024,5/5,,,
